DATE,CLOSE,HIGH,LOW,OPEN,TRADES,VWAP
2024-06-05,789.75,795.0,744.05,790.75,1147451,771.2
2024-06-04,775.2,897.0,731.95,897.0,1904773,803.85
2024-06-03,905.65,912.0,856.75,863.55,1242769,890.2
2024-05-31,830.35,835.0,817.1,830.7,313614,827.92
2024-05-30,825.85,836.0,819.3,821.4,438243,828.27
2024-05-29,822.65,834.45,819.3,828.4,243373,825.29
2024-05-28,831.15,840.7,823.3,835.7,206371,832.45
2024-05-27,833.7,839.4,823.0,832.6,219095,833.52
2024-05-24,828.6,841.25,827.0,830.0,236666,835.17
2024-05-23,832.1,835.5,822.0,824.7,297207,830.11
2024-05-22,818.75,826.65,813.55,826.55,303784,819.27
2024-05-21,830.65,836.3,819.6,821.0,299301,830.06
2024-05-18,821.0,823.0,819.2,822.0,18745,820.96
2024-05-17,817.85,822.45,811.2,814.5,238755,817.69
2024-05-16,811.95,826.15,797.35,825.3,398702,810.77
2024-05-15,820.3,825.3,818.05,821.0,184595,821.25
2024-05-14,818.2,822.4,807.9,813.0,215574,815.81
2024-05-13,808.8,819.85,798.6,819.85,300588,807.3
2024-05-10,817.35,832.05,815.6,827.0,337836,822.63
2024-05-09,819.8,839.65,803.55,811.9,710585,820.7
2024-05-08,810.8,822.0,799.5,802.6,416012,811.87
2024-05-07,801.9,814.65,793.2,812.0,333003,802.82
2024-05-06,807.8,836.0,803.0,835.0,420532,809.69
2024-05-03,831.45,836.2,820.0,834.8,299662,828.02
2024-05-02,830.05,833.9,825.0,826.9,425940,830.43
2024-04-30,826.25,834.85,819.9,826.5,376985,827.56
2024-04-29,826.5,831.25,798.7,807.0,371639,817.53
2024-04-26,801.3,816.9,798.9,815.9,320781,804.98
2024-04-25,812.7,814.4,769.65,770.65,490497,798.71
2024-04-24,773.1,778.5,770.2,778.5,163729,772.96
2024-04-23,773.0,777.7,765.55,770.35,390560,772.87
2024-04-22,766.1,769.0,750.45,754.15,320047,760.71
2024-04-19,750.45,752.0,732.05,734.5,191080,743.33
2024-04-18,744.8,759.95,742.0,752.05,271371,750.48
2024-04-16,751.7,754.9,744.4,751.25,202899,750.07
2024-04-15,757.5,763.3,748.75,759.8,203154,756.89
2024-04-12,766.3,779.5,764.8,777.25,245294,772.32
2024-04-10,779.05,780.7,763.65,766.5,201570,772.9
2024-04-09,764.2,772.45,761.1,768.45,127868,766.79
2024-04-08,768.3,770.0,761.8,766.05,193392,766.03
2024-04-05,764.75,767.7,752.6,757.95,159848,760.39
2024-04-04,759.3,775.3,758.1,775.0,263762,763.24
2024-04-03,771.05,772.6,760.15,764.9,277412,767.84
2024-04-02,766.4,768.75,753.35,758.2,199522,761.63
2024-04-01,758.3,761.5,752.1,759.05,155072,757.16
2024-03-28,752.35,759.55,736.9,737.75,250615,750.83
2024-03-27,733.3,745.85,730.2,743.0,303834,735.91
2024-03-26,740.05,747.85,738.5,743.05,471853,741.15
2024-03-22,746.7,748.8,741.4,743.85,261750,746.09
2024-03-21,744.3,750.6,740.55,742.0,297397,745.38
2024-03-20,736.25,738.95,719.8,725.15,411626,731.17
2024-03-19,723.8,734.35,721.15,730.0,203852,727.47
2024-03-18,730.95,737.9,722.1,727.1,266091,729.81
2024-03-15,731.9,746.55,723.0,739.25,382516,731.27
2024-03-14,741.05,750.8,734.05,749.9,304735,743.03
2024-03-13,747.25,763.7,743.0,758.65,462302,751.85
2024-03-12,759.7,777.75,757.35,770.0,390497,764.67
2024-03-11,773.7,792.8,770.55,790.0,387291,778.59
2024-03-07,788.05,793.4,783.0,790.0,219629,788.54
2024-03-06,783.9,790.3,772.9,783.65,503262,783.81
2024-03-05,783.95,786.95,769.1,769.5,404509,782.2
2024-03-04,772.05,777.0,769.0,774.4,197362,772.72
2024-03-02,773.3,777.0,768.9,771.95,27382,774.03
2024-03-01,769.15,772.0,751.95,752.0,309262,763.2
2024-02-29,748.1,753.9,737.15,743.9,389495,745.74
2024-02-28,742.5,756.75,741.0,749.85,283338,747.76
2024-02-27,749.85,762.35,742.2,758.9,315352,751.69
2024-02-26,758.9,766.35,752.7,755.0,280156,759.32
2024-02-23,759.05,770.5,755.0,765.9,479997,761.81
2024-02-22,765.9,773.0,757.0,773.0,372278,764.01
2024-02-21,771.5,777.5,759.6,760.65,441746,770.65
2024-02-20,760.1,763.5,754.0,759.05,260985,759.33
2024-02-19,759.25,765.0,750.0,758.7,253774,758.61
2024-02-16,754.7,774.6,753.35,763.45,519358,763.14
2024-02-15,761.7,764.0,741.65,747.7,863114,754.14
2024-02-14,743.4,748.5,705.55,705.55,493455,730.54
2024-02-13,713.45,718.0,702.15,708.55,364739,711.68
2024-02-12,707.9,726.0,704.5,726.0,573623,713.27
2024-02-09,725.25,728.35,694.2,703.65,757763,711.47
2024-02-08,699.55,718.9,678.5,680.4,978644,700.87
2024-02-07,675.25,677.95,655.0,655.05,797692,669.94
2024-02-06,650.25,655.0,637.7,644.45,230842,644.26
2024-02-05,642.95,654.8,638.75,647.1,348687,646.89
2024-02-02,649.65,660.55,646.7,652.0,362306,653.81
2024-02-01,647.65,652.95,633.25,642.75,341287,644.85
2024-01-31,640.5,643.2,622.0,626.4,331696,634.65
2024-01-30,626.75,633.5,624.2,625.45,340803,628.36
2024-01-29,622.95,629.5,615.6,619.0,375931,622.28
2024-01-25,612.75,623.8,606.25,618.5,295756,612.47
2024-01-24,618.3,622.35,603.1,609.95,274606,615.78
2024-01-23,605.1,634.9,600.65,627.0,409569,613.88
2024-01-20,631.4,633.8,624.1,629.0,133765,628.99
2024-01-19,627.75,635.5,624.7,633.0,208754,629.47
2024-01-18,628.3,633.45,619.05,625.8,239183,627.46
2024-01-17,626.0,636.8,623.0,624.0,428458,628.6
2024-01-16,636.9,644.9,633.45,640.0,253396,639.72
2024-01-15,640.1,645.5,636.1,638.9,300031,640.23
2024-01-12,633.6,636.5,621.1,623.8,302558,630.54
2024-01-11,620.2,627.15,618.5,626.0,284550,621.85
2024-01-10,621.75,625.3,618.2,624.8,213657,622.15
2024-01-09,625.4,634.35,624.5,632.0,236123,629.7
2024-01-08,627.0,645.0,625.05,640.0,336839,633.49
2024-01-05,641.95,651.75,637.75,645.0,272662,645.02
2024-01-04,642.75,646.4,638.65,642.5,271568,642.95
2024-01-03,643.45,648.0,635.8,639.35,252225,643.21
2024-01-02,639.45,648.0,633.85,641.35,249803,640.47
2024-01-01,641.35,646.9,638.0,642.2,257804,643.93
2023-12-29,642.05,649.6,639.55,645.5,332467,642.49
2023-12-28,651.4,653.3,646.5,650.25,301058,650.46
2023-12-27,648.55,649.45,639.0,640.75,295473,645.18
2023-12-26,638.05,641.3,635.65,638.85,298625,639.19
2023-12-22,636.75,649.4,635.15,644.75,307210,642.31
2023-12-21,643.75,648.95,627.5,632.15,347188,639.02
2023-12-20,636.45,660.4,633.95,658.7,419233,647.91
2023-12-19,655.4,659.6,640.25,648.5,384049,652.88
2023-12-18,648.5,655.65,642.4,646.65,347590,650.04
2023-12-15,648.25,650.0,619.85,628.0,433979,638.08
2023-12-14,623.65,627.75,622.4,626.0,336921,624.37
2023-12-13,619.85,620.5,611.65,614.45,279821,616.9
2023-12-12,612.4,617.95,610.8,617.0,282774,613.75
2023-12-11,614.25,619.9,613.1,615.0,285158,615.99
2023-12-08,614.15,616.8,605.35,610.0,294891,610.67
2023-12-07,611.7,612.55,605.0,610.0,248309,609.73
2023-12-06,608.45,614.0,604.55,614.0,273409,609.96
2023-12-05,608.25,611.3,595.05,595.05,432396,606.37
2023-12-04,594.7,596.0,584.55,588.0,386859,590.28
2023-12-01,571.75,574.2,566.55,567.0,189868,571.83
2023-11-30,564.75,570.2,563.65,569.75,314822,566.22
2023-11-29,568.6,569.0,565.1,568.0,206929,567.58
2023-11-28,564.45,565.2,561.1,563.6,186090,563.42
2023-11-24,560.35,562.45,559.25,561.95,155259,560.63
2023-11-23,559.95,563.5,558.3,561.75,198344,560.72
2023-11-22,558.95,564.5,555.15,562.95,247815,559.0
2023-11-21,561.5,566.65,561.0,566.0,223495,563.11
2023-11-20,563.75,566.8,560.6,564.0,264832,564.68
2023-11-17,563.05,574.5,562.1,574.5,682644,566.16
2023-11-16,584.65,588.0,582.9,584.7,179964,585.4
2023-11-15,584.7,588.0,582.6,587.25,221182,584.93
2023-11-13,581.35,582.5,575.2,581.0,177978,578.71
2023-11-12,581.3,584.75,580.1,584.75,53935,581.85
2023-11-10,579.5,581.0,575.4,577.8,119792,578.7
2023-11-09,578.35,581.85,576.5,581.0,167584,578.27
2023-11-08,580.3,582.6,579.0,581.9,391419,580.52
2023-11-07,579.75,581.2,572.6,574.8,466280,577.36
2023-11-06,574.35,582.5,573.25,582.0,330138,575.7
2023-11-03,578.15,579.5,573.45,576.0,205720,577.35
2023-11-02,572.1,575.45,567.6,571.1,212716,571.18
2023-11-01,566.4,569.65,563.85,566.25,240220,567.16
2023-10-31,565.55,569.5,563.15,567.0,236664,566.37
2023-10-30,565.2,566.7,556.5,563.0,191150,562.29
2023-10-27,561.15,562.5,550.0,550.0,210599,558.49
